ID,Species,Binomial,Presence_of_Data,Publish_Date,Original_Data,Date_Start,Date_End,Country,Lat,Long,Sample_Size,Age_Min,Age_Max,Testicular_Volume,Testicular_Circumference,Collection_Method,Seminal_Volume,Mean_Motility,Sperm_Concentration,%_Normal_Morphology,%_Intact_Acrosome,%_Head_Abnormalities,%_Midpiece_Abnormalities,%_Tail_Abnormalities,Housing,Pairing,Reference,Comments,,,,,,,,,
53,Iberian Lynx,Lynx pardinus,Yes,2010-01-01,Yes,2005-01-01,2007-12-31,ESP,multiple,multiple,9,2,8,,,EEJ,0.3414,85.6,20.5,33,68.8,,,,captive,alone,https://doi.org/10.1530/REP-09-0259,,,,,,,,,,
54,Iberian Lynx,Lynx pardinus,Yes,2010-01-01,Yes,2006-01-01,2006-12-31,ESP,37.04292583,-6.434435975,4,4,11,,,EEJ,0.4702,58.3,10.1,25.9,49.9,,,,wild,,https://doi.org/10.1530/REP-09-0259,,,,,,,,,,
55,Three-banded Armadillo,Tolypeutes matacus,Yes,2002-10-16,Yes,,,USA,39.14281071,-84.50926875,3,,,,,EEJ,0.141.1,24.5,23,86.9,56.2,,,,captive,,https://doi.org/10.1002/zoo.10053,,,,,,,,,,
56,Painted Ring-tailed Possum,Pseudochirulus forbesi,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Six-banded Armadillo,Euphractus sexcinctus,Yes,2016-08-01,Yes,,,BRA,-5.165722939,-37.16658137,4,,,,,EEJ,0.41,84.5,139.58,78,,4.6,2.2,14.5,captive,,https://doi.org/10.1590/S0100-736X2016000800015,,,,,,,,,,
58,Giant Anteater,Myrmecophaga tridactyla,Yes,2021-03-19,Yes,2009-03-16,2009-07-16,BRA,multiple,multiple,13,2,13,,,EEJ,1.28,28.3,129.4,36,83.7,28.6,20.7,14.7,captive,,https://doi.org/10.1002/zoo.21602,,,,,,,,,,
59,Dramatic White-toothed Shrew,Crocidura ludia,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Indochinese White-toothed Shrew,Crocidura indochinensis,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Mouflon,Ovis gmelinii,Yes,2014-10-01,Yes,,,ESP,40.45570807,-3.749399298,7,4,11,,,EEJ,,39.9,,35.1,90.6,,,,captive,,https://doi.org/10.1016/j.anireprosci.2014.07.003,,,,,,,,,,
62,Mouflon,Ovis gmelinii,Yes,2018-05-01,Yes,2014-12-01,2015-02-28,ESP,38.16213133,-2.719101604,16,,,,,EEJ,,61.25,,85.12,99.75,,,,wild,,https://doi.org/10.1016/j.anireprosci.2018.03.010,,,,,,,,,,
63,Chimpanzee,Pan troglodytes,Yes,1977-11-24,No,,,USA,33.80322704,-84.31803962,3,,,,,MT,,,,95.5,,3.5,0.2,0,captive,,https://doi.org/10.1038/270345a0,,,,,,,,,,
64,Human,Homo sapiens,Yes,1977-11-24,,,,,,,4,,,,,MT,,,,73,,5.7,0,0,,,https://doi.org/10.1038/270345a0,,,,,,,,,,
65,Western Gorilla,Gorilla gorilla,Yes,1977-11-24,No,,,USA,33.80322704,-84.31803962,2,,,,,EEJ,,,,98.5,,5.9,0.8,0,captive,,https://doi.org/10.1038/270345a0,,,,,,,,,,
66,Chimpanzee,Pan troglodytes,Yes,2012-09-27,Yes,,,FRA,46.50914412,3.625409455,2,,,,,MT,0.566666667,63.5,149,83,,6.666666667,0,10.33333333,captive,,https://doi.org/10.3390/ijms221910383,,,,,,,,,,
67,Western Gorilla,Gorilla gorilla,Yes,2005-08-15,Yes,,,USA,multiple,multiple,2,19,19,,,MT,0.355,41.85,210.3,25.75,,,,,captive,multiple,https://doi.org/10.1002/ajp.20158,,,,,,,,,,
68,Polar Bear,Ursus maritimus,Yes,2022-02-11,No,2011-01-01,2021-12-31,USA,,,17,3,32,,,multiple,0.13,57,329.55,35.3,,,,,captive,,https://doi.org/10.3390/ani12040430,,,,,,,,,,
69,Giraffe,Giraffa camelopardalis,Yes,2019-02-01,Yes,,,multiple,multiple,multiple,3,2,20,,,EPD,,27.25,,24.875,,53.5,34.5,13.625,captive,,https://doi.org/10.1007/s10344-019-1257-7,,,,,,,,,,
70,Giraffe,Giraffa camelopardalis,Yes,2022-03-29,No,,,,,,7,1,8,,,EPD,,80.66666667,,78,95.13333333,,,,captive,,https://doi.org/10.3390/ani12070857,,,,,,,,,,
71,Pale-throated Sloth,Bradypus tridactylus,Yes,2008-10-01,Yes,,,BRA,-3.101794413,-60.02498928,15,,,,,EEJ,0.045,,91.92857143,70.1,,12.15,5.15,12.6,wild,,https://doi.org/10.1016/j.tice.2008.03.001,,,,,,,,,,
72,American Bison,Bison bison,Yes,2009-09-15,Yes,,,CAN,,,14,,,,,EPD,,70,,52.4,,,,,captive,,https://doi.org/10.1111/j.1439-0531.2008.01087.x,,,,,,,,,,
73,Northern Montane Shrew,Sorex obscurus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Bobcat,Lynx rufus,Yes,2009-08-01,Yes,2004-04-01,2007-11-30,ESP,36.68899124,-6.150369561,4,3,8,,,EEJ,0.36269,55.71,24.4,14.67,43.66,,,,captive,alone,https://doi.org/10.1016/j.theriogenology.2009.03.002,,,,,,,,,,
75,Black-footed Ferret,Mustela nigripes,Yes,2006-08-01,Yes,,,USA,multiple,multiple,16,2,5,,,EEJ,0.0269,62.2,558.6,15.3,72.9,27.1,49.5,8.1,captive,alone,https://doi.org/10.1016/j.cryobiol.2006.03.009,,,,,,,,,,
76,Coyote,Canis latrans,Yes,2008-05-01,Yes,,,USA,41.65607114,-111.8178764,10,2,6,5,,EEJ,,60.24285714,279.6142857,61.97142857,,9.49,3.6,4.11,captive,,https://doi.org/10.1016/j.theriogenology.2008.01.010,,,,,,,,,,
77,Domestic Cat,Felis catus,Yes,2015-12-01,No,2011-01-01,2014-06-01,POL,51.11287783,17.06742903,214,0.666666667,6,,,multiple,0.0155,70.47647059,3257.8,49.45941423,,8.770292887,22.13849372,19.43179916,captive,,https://doi.org/10.1016/j.theriogenology.2015.08.005,,,,,,,,,,
78,Domestic Cat,Felis catus,Yes,2010-07-21,Yes,,,USA,38.88733457,-78.16510093,6,1.5,8,,,EEJ,0.16,73,306,45,88,7.9,56.35,23.2,captive,alone,10.1095/biolreprod.110.085639,,,,,,,,,,
79,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1530/jrf.0.0720187,,,,,,,,,,
80,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.4102/koedoe.v18i1.919,,,,,,,,,,
81,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1111/j.2047-2927.2013.00080.x,,,,,,,,,,
82,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.2164/jandrol.110.011460,,,,,,,,,,
83,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.theriogenology.2003.11.021,,,,,,,,,,
84,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1016/S0093-691X(00)00237-5,,,,,,,,,,
85,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1186/1477-7827-6-9,,,,,,,,,,
86,Cheetah,Acinonyx jubatus,Yes,1996-01-01,Yes,,,USA,,,5,,,,,EEJ,,,,11.9,82.8,,,,captive,,https://doi.org/10.1016/0093-691X(96)84714-5,,,,,,,,,,
